-,-,-
-4.40,7.16,5.36
-4.63,6.85,5.39
-4.61,7.28,5.40
-4.67,6.96,5.41
-4.39,6.86,5.40
-4.53,7.30,5.42
-4.76,7.03,5.38
-4.19,6.90,5.43
-4.53,7.30,5.43
-4.83,6.89,5.39
-4.33,6.86,5.41
-4.95,7.19,5.43
-4.45,7.40,5.48
-4.69,6.83,5.51
-4.43,7.31,5.56
-4.63,7.27,5.61
-4.58,6.99,5.63
-4.13,7.77,5.80
-4.77,7.09,5.71
-5.00,7.24,5.50
-5.26,6.36,5.31
-4.30,5.71,5.18
-3.83,4.80,5.13
-3.91,5.97,5.19
-4.99,6.49,5.14
-4.82,6.46,5.20
-3.81,6.80,5.32
-4.89,8.23,5.40
-4.83,6.45,5.37
-3.60,7.55,5.43
-4.56,7.54,5.23
-5.41,8.05,5.07
-4.07,7.13,5.08
-4.09,8.24,5.10
-5.22,8.19,5.04
-4.97,8.15,5.04
-4.47,7.65,5.08
-4.35,8.00,5.05
-4.96,7.53,5.03
-4.70,7.53,5.07
-4.41,8.24,5.22
-4.59,6.85,5.23
-4.68,7.49,5.34
-3.61,8.14,5.50
-4.62,7.27,5.42
-4.85,7.54,5.26
-4.57,7.38,5.14
-4.30,6.50,5.10
-3.55,6.52,5.08
-3.93,6.99,5.15
-3.89,7.01,5.27
-3.51,6.70,5.32
-3.67,6.06,5.28
-4.13,6.38,5.33
-3.53,6.62,5.41
-3.82,7.14,5.40
-4.24,6.58,5.32
-4.00,6.73,5.12
-5.04,7.81,5.37
-3.68,7.56,5.36
-3.07,7.49,5.18
-5.55,7.70,4.84
-4.68,6.88,4.86
-2.82,8.52,5.17
-4.39,8.42,5.11
-5.14,8.10,5.05
-3.34,8.58,5.16
-4.11,8.15,5.10
-3.94,8.49,4.98
-4.24,7.86,4.87
-3.95,8.31,4.95
-3.45,7.85,4.92
-4.03,7.80,4.93
-4.20,8.33,5.07
-3.94,8.18,5.22
-4.07,8.20,5.28
-4.71,8.07,5.27
-3.77,7.37,5.35
-3.79,7.74,5.41
-3.96,7.79,5.45
-3.43,7.26,5.43
-3.73,7.51,5.34
-4.51,7.52,5.31
-3.39,7.17,5.30
-2.01,6.52,5.33
-2.82,7.48,5.35
-3.55,7.02,5.27
-3.17,7.16,5.40
-3.71,6.98,5.49
-3.35,7.47,5.72
-3.47,7.35,5.73
-3.90,7.68,5.76
-3.86,7.19,5.72
-3.75,7.59,5.82
-3.39,7.48,5.82
-4.11,7.53,5.78
-3.61,7.49,5.71
-3.57,6.94,5.74
-4.00,6.88,5.60
-4.03,7.17,5.56
-3.46,7.54,5.74
-4.70,7.02,5.65
-2.77,7.82,5.81
-4.46,6.94,5.71
-3.47,7.31,5.74
-3.32,7.87,5.75
-4.47,7.33,5.65
-3.27,7.46,5.69
-3.45,7.32,5.66
-3.85,7.15,5.67
-3.56,7.82,5.69
-3.37,7.69,5.70
-3.98,7.21,5.63




-,-,-
-2.89,8.02,5.46
-3.49,8.28,5.44
-2.98,7.63,5.44
-2.76,8.30,5.48
-3.40,7.49,5.39
-3.08,8.06,5.54
-3.01,8.14,5.54
-3.26,8.19,5.63
-3.35,8.11,5.59
-2.92,7.05,5.44
-3.18,7.86,5.54
-3.26,8.06,5.72
-3.43,8.83,6.04
-2.65,8.98,6.06
-3.74,7.48,5.79
-3.96,7.08,5.45
-2.73,5.46,5.24
-1.82,3.39,4.94
-3.89,5.30,4.54
-2.26,8.16,5.02
-3.07,5.32,4.92
-2.62,7.30,4.97
-1.78,9.38,5.15
-5.47,8.62,4.97
-5.02,8.55,4.94
-3.74,10.63,5.07
-4.37,8.02,4.94
-2.50,8.88,4.92
-3.24,11.11,5.09
-5.32,8.82,4.91
-4.23,9.45,4.96
-3.28,8.65,5.07
-6.26,10.74,5.07
-4.38,8.19,4.88
-2.95,9.03,5.07
-4.08,7.92,4.73
-2.30,6.69,4.56
-1.42,5.45,4.55
-1.45,5.75,4.64
-1.57,4.28,4.57
-1.45,3.35,4.46
-1.78,5.60,4.55
-2.42,7.23,4.56
-4.22,7.69,4.46
-3.34,8.71,4.67
-5.13,9.74,4.69
-2.49,7.98,4.55
-4.05,9.85,4.62
-3.02,11.36,4.64
-3.39,10.26,4.55
-4.58,11.39,4.67
-3.45,11.80,4.91
-5.13,11.85,4.77
-4.47,9.91,4.62
-3.09,10.47,4.38
-4.51,8.66,4.07
-2.39,7.58,4.05
-2.11,6.73,4.17
-1.73,6.07,4.28
-1.39,6.15,4.66
-1.71,7.17,5.01
-1.76,4.92,5.29
-1.84,6.65,5.63
-2.65,8.69,5.90
-3.18,5.70,5.82
-1.48,6.88,5.99
-2.84,8.09,5.94
-2.58,7.49,5.91
-3.17,8.20,6.00
-2.83,7.85,5.81
-2.92,6.91,5.74
-2.74,8.70,5.86
-2.76,6.51,5.75




-,-,-
-3.33,7.18,6.08
-3.22,6.66,6.05
-3.14,7.72,6.11
-3.30,7.58,6.17
-3.36,7.15,6.18
-3.15,7.71,6.19
-3.32,7.19,6.13
-3.25,7.99,6.24
-3.42,6.98,6.32
-2.90,8.20,6.48
-3.74,7.43,6.56
-3.07,7.82,6.55
-3.62,7.85,6.79
-3.53,8.69,6.94
-2.99,8.40,7.29
-2.83,7.58,7.07
-3.77,6.53,6.62
-3.86,6.42,6.46
-2.71,5.59,6.31
-3.68,4.09,6.16
-3.15,5.48,6.49
-1.97,3.74,6.28
-3.73,2.66,5.74
-3.18,4.48,5.65
-3.32,4.46,5.46
-1.99,2.69,5.50
-1.81,8.13,5.71
-4.83,7.33,5.70
-1.94,5.43,5.37
-5.59,12.47,5.38
-4.67,7.19,5.20
0.19,5.79,5.27
-5.82,13.13,6.15
0.17,9.48,6.69
-3.33,10.56,6.10
-5.19,9.78,5.68
-3.74,10.20,5.67
-2.85,9.20,5.58
-1.86,9.27,5.39
-4.17,8.93,5.16
-2.88,7.63,5.32
-2.44,9.46,5.71
-2.70,8.39,5.78
-2.63,8.24,5.79
-3.06,9.14,5.79
-3.25,7.62,5.79
-1.79,8.44,6.05
-2.22,7.97,6.17
-2.17,7.41,6.31
-2.60,7.47,6.27
-2.48,8.15,6.34
-1.63,6.09,6.29
-1.33,5.99,6.31
-2.92,6.07,6.15
-2.61,5.58,6.05
-1.41,5.05,6.11
-2.10,3.91,5.99
-1.38,5.36,6.22
-1.77,5.54,6.30
-1.73,5.05,6.27
-2.24,7.66,6.36
-3.42,6.95,6.28
-2.25,5.42,5.98
-2.81,9.79,6.05
-2.97,6.56,5.81
-1.09,6.85,5.66
-3.62,10.58,5.52
-2.76,7.17,5.35
0.19,7.78,5.32
-4.09,10.24,5.19
-1.26,7.23,5.08
-2.24,11.54,5.17
-3.72,8.98,5.04
-0.06,9.95,5.22
-2.94,11.05,5.19
-1.52,10.14,5.05
-1.70,9.00,4.74
-2.42,9.39,4.56
-1.27,9.05,4.56
-1.28,8.84,4.62
-2.38,9.44,4.76
-2.43,9.49,5.04
-2.48,10.10,5.21
-2.37,9.01,5.44
-3.49,9.86,5.44
-3.10,9.27,5.47
-3.19,8.69,5.65
-3.33,8.79,5.88
-3.97,9.80,5.89
-1.45,7.16,5.87
-1.58,9.09,5.98
-0.96,7.13,5.64
-0.64,7.11,5.68
-0.68,5.66,5.84
-1.53,7.89,5.90
-0.35,4.25,5.92
-1.36,6.38,6.35
-1.11,5.19,6.56
0.23,5.73,7.00
-2.16,6.86,7.30
0.07,6.55,7.63
-0.47,7.13,7.41
-2.46,5.90,7.15
-1.87,6.22,7.05
-1.50,6.97,7.20
-1.25,6.69,7.17
-1.42,5.41,6.84
-0.64,6.82,7.02
